Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
3793,2605.9,2152.2,1744.6,407.6,453.7,292.4,161.3,264.2,26.6,237.6,18.1,756.9,649.5,107.5,457.8,435.8,195.4,77.6,45.2,16.9,16.3,84.4,22,310.1,456,3336.9,3088.4,2966.1,99.8,22.4,12.7,9.7,248.6,7.4,5731.3,5734.4,13815,23741,241539,3.2,0.7
3851.1,2651,2193.7,1779.1,414.6,457.3,294.4,162.9,275.4,27.3,248.2,18.8,759.2,650.5,108.7,463.1,441.9,198.9,79.6,46.2,15.5,16.6,85,21.3,316.5,450.7,3400.4,3118.8,2998.3,98.4,22.1,12.7,9.5,281.6,8.3,5760.5,5781.6,14051,23890,242009,7.8,3.3
3911.2,2694.2,2230.1,1810,420.1,464.2,299.4,164.7,282.3,29,253.3,17.4,769.4,659.7,109.7,468.1,447.5,201.7,81.1,47.3,15.1,16.5,85.9,20.6,320.2,511.7,3399.5,3189.9,3068.8,98.3,22.9,12.9,10,209.6,6.2,5798.9,5725.5,14017,23609,242520,-0.1,-3.8
3982.7,2741.8,2270.6,1845.7,424.9,471.2,304.2,167,289.5,28.8,260.7,21,785.8,672.7,113.2,469.2,449.4,201.4,82.3,48.4,14.4,16.4,86.6,19.7,324.5,489,3493.7,3256.6,3133.5,99.2,23.9,13.5,10.4,237.1,6.8,5862.6,5829.6,14370,23978,243120,11.6,7.5
4078.5,2810.3,2330.7,1897.8,432.8,479.6,309.2,170.4,298.6,30.4,268.2,23.7,805,687.9,117.1,472.2,452.8,202,83.3,49.4,13.5,16.4,88.2,19.3,331.2,507,3571.5,3291.5,3167.6,99.9,24,13.7,10.3,280,7.8,5965.1,5907.5,14654,24239,243721,9.2,5.5
4153.8,2861,2367.3,1924.4,442.8,493.8,314.1,179.6,319.3,33.3,286,23,812.6,691.1,121.6,489.9,470.3,213.5,83.4,50.9,13.9,16.9,91.7,19.6,352.1,502.1,3651.7,3374.4,3249,100.6,24.9,14.2,10.7,277.3,7.6,6013.6,5993.7,14953,24543,244208,9.3,6
4227.8,2926.1,2422.1,1973,449,504,320.6,183.4,322.8,27.4,295.3,22.6,821.9,695.7,126.2,493.5,473.4,213.5,85,52.2,13.2,16.7,92.9,20.1,359.1,497.8,3730,3436.5,3309,102.1,25.5,14.8,10.7,293.5,7.9,6062.2,6055.2,15242,24744,244716,8.8,4.2
4318.9,2978,2463,2008.3,454.7,514.9,328.7,186.2,334,28.8,305.2,23.9,847.9,715.2,132.6,499.6,478.8,214.2,87,53.7,13.2,16.7,94,20.8,364.4,506.7,3812.3,3507.9,3378.3,104,25.6,15.1,10.5,304.4,8,6124.9,6113.5,15538,24917,245354,9.1,3.9
4404.9,3035.1,2506.8,2045.2,461.6,528.3,339,189.3,327.3,17.7,309.7,30.9,875.1,736.5,138.5,506.8,484.9,214.5,89.7,55.4,13,16.6,95.7,21.9,370.3,517.2,3887.7,3583.8,3451.3,106,26.6,15.4,11.2,303.8,7.8,6189.2,6172.6,15806,25095,245966,8.1,3.9
4532.7,3084,2542.2,2071.3,470.8,541.8,351,190.9,348.7,36.7,312,26.8,921.6,773.7,147.8,531.4,508.2,225.9,93.8,57.4,13.6,17.4,100,23.3,379.8,552.9,3979.8,3644,3506.1,110.8,27.1,15.9,11.1,335.8,8.4,6282.5,6248.8,16148,25354,246460,9.8,5
