Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
6805.2,4517.9,3702.7,3048.2,654.5,815.2,535.5,279.7,560.6,34.7,525.8,149.9,1209.6,891.8,317.9,932.6,910.7,344.9,200.4,156.9,21.7,21.4,165.4,21.9,565.4,863.6,5941.6,5600,5376.1,164.6,59.3,35.8,23.5,341.7,5.8,7465.1,7552.9,21926,27871,270991,4.9,2.1
6929.8,4599.5,3777.3,3114.1,663.2,822.2,538.4,283.8,579.4,37.8,541.6,149,1227.3,901,326.2,950.2,930.5,353.9,204.4,161.4,21,22.4,167.4,19.7,575.5,902.1,6027.7,5684,5456.7,164.9,62.3,37.2,25.1,343.8,5.7,7567.8,7628.7,22185,28077,271709,5.9,4.1
7010.5,4665.8,3835.5,3167.7,667.8,830.2,543.2,287.1,579,28.1,550.9,149.9,1248,913.8,334.2,950,931.3,355.9,207.1,159.4,20.4,22.2,166.4,18.7,582.2,916.2,6094.3,5728.6,5495.1,170.4,63.1,38,25.1,365.7,6,7651.2,7693.9,22365,28236,272487,4.5,3.5
7123.8,4745.4,3903.7,3228.9,674.8,841.7,550.7,291,592.5,32.4,560,152.6,1267.4,925.5,341.9,956.2,937.2,357.5,208.3,163.7,19.6,22.2,165.9,19,590.2,941.1,6182.7,5842.5,5603.5,174.9,64.2,38.6,25.6,340.2,5.5,7766.5,7785.5,22615,28477,273391,5.9,4.8
7258.6,4848.1,3990.9,3309.2,681.6,857.2,560.8,296.5,600.6,31.2,569.4,156.8,1291.1,941.8,349.3,963.1,942.7,359.1,207.9,168,19.4,22.4,165.8,20.4,601,967.9,6290.7,5931.6,5687.6,178.2,65.8,39,26.8,359.2,5.7,7903.1,7897.1,22938,28796,274246,7.2,5.9
7420.5,4950.4,4076.3,3385.1,691.2,874.1,573,301.1,621.4,27.9,593.5,161.5,1324.4,968.9,355.6,974.7,951.8,366.6,206.4,167.2,19.4,23.3,168.8,22.8,611.8,996.1,6424.4,5988.5,5745.9,176.6,65.9,39.1,26.9,435.9,6.8,8092.2,8065.3,23366,29334,274950,8.8,8.8
7548.1,5035.9,4146.2,3448.1,698.1,889.7,584.5,305.2,633.7,26.4,607.2,167.2,1350.7,992.4,358.2,981.1,956,368.2,205.3,170,19.3,23.2,169.9,25.1,620.4,1022.3,6525.7,6110.3,5857.8,184.4,68.1,39.3,28.7,415.4,6.4,8229.7,8178,23669,29662,275703,6.5,5.7
7655.4,5120.9,4216.8,3511.8,705,904.1,594.7,309.3,649,26.6,622.5,172.6,1357.3,1000.5,356.8,984.5,957.4,370.7,205,168.1,20.3,23.2,170.1,27.1,629,1043.2,6612.1,6209.6,5952.8,186.4,70.4,40,30.4,402.6,6.1,8334.7,8261.4,23908,29871,276564,5.4,4.1
7750.8,5204.2,4287.1,3576.2,710.9,917,603.7,313.3,672.7,32.9,639.7,178.1,1337.8,986.6,351.2,995.4,966.4,371.2,205.5,175.4,19.8,23.4,171.2,28.9,637.4,1068,6682.8,6315.4,6055.5,186.1,73.7,41.1,32.7,367.4,5.5,8419,8328.5,24091,30023,277400,4.3,3.3
7838.1,5298.8,4368.9,3647.6,721.3,929.9,610.7,319.3,686,33.6,652.3,180.8,1310.4,967.5,343,1014.6,983.4,377,206.6,181.1,20.8,24.2,173.7,31.2,652.5,1078.1,6760,6385.7,6129,183.1,73.6,42.3,31.3,374.4,5.5,8482.1,8403.1,24308,30216,278103,4.7,3.6
7908.3,5352.5,4410.7,3682.7,728.1,941.7,620.7,321,694.1,28.1,665.9,184.1,1316.2,975.9,340.3,1017.8,985,378.9,207.9,179.1,20.9,24.1,174,32.8,656.4,1095.4,6812.9,6516.9,6253,188.4,75.6,43.5,32.1,296,4.3,8519.8,8423.9,24431,30208,278864,3.2,1
8015.5,5429.7,4472,3734.5,737.6,957.7,634,323.6,703.8,26.2,677.6,183.9,1329.3,984.2,345.1,1030.9,996.1,380.8,209.4,186.7,20.3,24.1,174.8,34.8,662.2,1120.8,6894.7,6626.5,6357.2,192,77.2,44.7,32.6,268.2,3.9,8590.9,8480.3,24646,30314,279751,4.9,2.7
8191.7,5560.2,4580.3,3832.3,748.1,979.9,650.4,329.4,717.9,24.5,693.4,183.6,1362.8,1005.5,357.2,1041.4,1004.3,382.7,211,191.3,20,24.1,175.1,37.1,674.1,1154.2,7037.6,6763,6488.9,197.2,76.8,45.8,31.1,274.6,3.9,8743,8605.1,25081,30668,280592,8.6,6
8445.3,5759.9,4752.9,3987.1,765.9,1006.9,665.8,341.2,724.9,27,697.8,184.2,1417,1042.7,374.3,1056.7,1016.9,392.5,213,190.2,20.5,25.1,175.6,39.8,697.5,1209,7236.3,6925.8,6642.7,203.7,79.3,46.9,32.4,310.5,4.3,8959.2,8774.6,25724,31192,281304,11.8,8.1
8575.3,5800.8,4780.1,4001.4,778.6,1020.7,679.1,341.6,755.2,33.4,721.9,184.3,1450.1,1064.6,385.5,1083.7,1042.3,404.7,216.1,198.3,20,24.9,178.3,41.5,698.9,1230.4,7344.9,7030.4,6737.3,210.9,82.2,48.1,34,314.5,4.3,9042.6,8865.6,26046,31438,282002,6.1,4.2
8724.9,5914,4872.6,4088.4,784.2,1041.4,693.5,347.9,764.7,31.8,732.8,186.9,1472.4,1083.5,388.9,1098,1054.7,403.9,220.7,204.8,20.6,24.9,179.9,43.3,711.2,1247.9,7477,7154.2,6845.1,225,84.1,49.3,34.7,322.7,4.3,9149,8969.2,26442,31719,282769,7.4,4.8
8802.8,5951.7,4897.8,4107.4,790.4,1053.8,703.7,350.2,786.3,33.7,752.6,195.4,1474.5,1089.9,384.6,1110.8,1065.6,404.5,226.7,204.8,21.9,25.1,182.7,45.2,715.8,1258.9,7543.8,7260.9,6944.4,230.5,86,50.6,35.4,282.9,3.8,9176.3,8999.5,26608,31742,283518,3.6,1.4
8961.2,6059.4,4982.8,4178.2,804.5,1076.7,717.4,359.3,816.2,34,782.1,201.7,1463.7,1090.8,372.8,1155.6,1107.8,420.8,233.8,215,25.5,26,186.6,47.9,735.5,1302.1,7659.1,7336.1,7020.4,226.8,88.9,51.5,37.4,322.9,4.2,9249.8,9076.2,26952,31940,284169,6.3,3.5
8997.9,6050.2,4963.8,4148.3,815.5,1086.3,727.9,358.4,835,32.5,802.5,207.5,1451.9,1084.9,367,1187.4,1139.1,422.7,240.4,230.1,28.4,26.3,191.3,48.3,734,1309,7689,7387.6,7072.1,225.7,89.8,52.5,37.4,301.4,3.9,9211.6,9068.2,26994,31836,284838,1.6,-0.4
8990.7,6033.7,4936.6,4108,828.6,1097.1,740.1,357,851.5,32.6,819,210.1,1434.7,1069.1,365.6,1192.2,1145.2,428.4,245.8,217.4,33.1,26.4,194.1,47,731.5,1114,7876.7,7419.5,7103.4,223.8,92.4,53.4,39,457.2,5.8,9190.5,9282.6,27581,32504,285584,10.1,9.8
9016.5,6042.9,4934.6,4095.2,839.4,1108.3,751.1,357.2,844.4,29.2,815.2,210.8,1415,1043.8,371.2,1235.2,1191.2,428.5,250.3,246.5,40.6,27.6,197.7,43.9,731.7,1232.2,7784.4,7525.2,7216.6,216.5,92.1,54.3,37.8,259.2,3.3,9164.3,9167.8,27189,32020,286311,-4.6,-4.9
9057.7,6074.8,4952.5,4090.9,861.6,1122.3,759.7,362.6,861.1,17.9,843.3,215.2,1392,1006.7,385.4,1259.9,1220.8,442.9,253.8,244.9,42.9,28.8,207.6,39.1,745.4,1069.5,7988.2,7557.6,7251.4,211.1,95.2,55.2,40,430.6,5.4,9167,9390.8,27840,32728,286935,10.9,10.1
9139.9,6137.7,5000.7,4130.3,870.4,1137,770.7,366.3,864.8,12.8,852,217.4,1390.4,993.1,397.3,1281.7,1246.5,445.5,257.3,243.8,60.5,29.3,210.1,35.2,752.1,1049.3,8090.5,7656.1,7344.5,215.8,95.8,56,39.8,434.4,5.4,9167.4,9438.4,28134,32821,287574,5.2,2
9173.9,6161.4,5010.9,4133.1,877.8,1150.6,783.4,367.1,873.9,21.3,852.6,216.8,1383.7,981.7,402,1291.6,1259.3,448.1,260.9,251.1,57.1,29.8,212.3,32.3,753.5,1053.1,8120.8,7745.8,7433.1,215.2,97.5,56.8,40.7,375,4.6,9149.5,9426.3,28168,32696,288303,1.5,-0.5
9243.9,6193.7,5021.5,4138.8,882.7,1172.1,804,368.1,884.3,27.7,856.6,219.8,1395.5,985.8,409.8,1305.6,1275.3,451.2,264.7,260.3,53.5,30.3,215.5,30.2,755,1046.7,8197.2,7816.2,7507.2,209.9,99,57.6,41.5,381,4.6,9172.4,9471.6,28363,32773,289007,3.8,1.9
9300.4,6226.6,5030.9,4126.1,904.8,1195.6,821.2,374.4,880.2,31.1,849.1,226.8,1407.5,997.9,409.6,1323.7,1294.1,458.1,268.7,260.7,51.2,31.3,224,29.6,764.4,1022.4,8278.1,7895.2,7593.5,202.6,99.1,58.5,40.6,382.9,4.6,9152.3,9498,28584,32796,289609,4,1.1
9424.3,6318.7,5102,4189.6,912.4,1216.7,836.8,379.9,894.1,38.9,855.3,234,1411.3,1000.2,411.1,1340.4,1312.4,463.1,273.4,260.1,54.9,31.8,229.1,28,774.2,1019.2,8405.2,7994.5,7684.6,211.1,98.8,59.7,39.1,410.7,4.9,9267.2,9635.5,28958,33197,290253,6.3,5.9
9550.3,6403.8,5166.9,4251.3,915.6,1237,852.1,384.9,907.2,39.8,867.4,239.9,1421.1,986.4,434.6,1361.6,1336.2,464.8,279.1,271.7,54.7,32.1,233.8,25.5,783.4,955.2,8595.1,8158.2,7845.5,213.3,99.4,61.1,38.3,436.9,5.1,9330.3,9793.4,29539,33657,290974,9.3,6.7
9689.4,6508.7,5251.6,4331.2,920.4,1257.1,866.2,390.9,918.7,42.4,876.3,251.3,1442.1,968.4,473.6,1363.6,1341.6,468.1,285.7,265.7,51.8,32.1,238.2,22,795,1024.6,8664.8,8257,7938.5,212.4,106.1,62.7,43.4,407.8,4.7,9448.4,9833,29708,33713,291669,3.3,1.6
9807.4,6565.7,5281.3,4339.5,941.8,1284.4,885,399.4,947.2,55.3,891.9,254.6,1451.7,937.9,513.8,1398.7,1381.2,479.7,293.1,283.4,43.4,33.5,248.1,17.5,810.4,1013,8794.5,8398.6,8076.8,211.2,110.6,64.8,45.8,395.9,4.5,9470.2,9904.7,30094,33893,292237,6.1,2.9
9971.4,6690.3,5383.6,4433,950.6,1306.6,900.4,406.2,961.9,53,908.9,258.7,1468.2,926.8,541.4,1416.3,1400.9,484.8,300.5,293,35.9,33.8,253,15.4,823.9,1027.9,8943.5,8513.4,8186.3,216.5,110.5,66.4,44.2,430.2,4.8,9567.9,10002.3,30537,34152,292875,7,4
10110.5,6823.3,5492.1,4536.5,955.7,1331.2,917.6,413.6,962.1,44.9,917.2,254.6,1484.6,937.5,547.1,1424.6,1408.8,486.2,308.6,288.3,33.7,34.3,257.8,15.7,838.7,1067.5,9042.9,8649.7,8312.7,225.4,111.7,67.7,44,393.2,4.3,9658,10054.9,30800,34247,293603,4.5,2.1
10322.3,6878.9,5530.6,4568.1,962.6,1348.2,932.6,415.6,977.1,48.7,928.4,253.8,1610.5,964.5,646,1445.8,1427.3,491.4,315.5,294.5,32.7,34.7,258.6,18.4,843.7,1094,9228.2,8809.8,8464.3,234,111.5,68.7,42.8,418.5,4.5,9792.6,10180.6,31353,34589,294334,8.5,5.1
10359.1,6952.6,5579.9,4597.4,982.5,1372.7,950.8,421.9,953.3,45.4,907.9,246.1,1577.6,1023.1,554.5,1489.3,1465.8,506.5,323.2,301.3,33.2,36.1,265.4,23.5,859.8,1172.5,9186.6,8912.4,8573.1,239.7,99.6,70.3,29.3,274.2,3,9734.8,10082.5,31145,34183,294957,-1.8,-3.8
10518.6,7027.4,5639.7,4652,987.6,1387.7,962.6,425,960.5,49,911.6,242.9,1641.9,1072.7,569.2,1513,1486.6,512.9,329.2,310.8,31.1,36.3,266.3,26.4,867.1,1197.7,9320.8,9092.4,8723.9,250,118.5,71.2,47.3,228.4,2.5,9818.5,10162.3,31533,34380,295588,6,3.2
10698.1,7142.2,5737.3,4742.8,994.5,1405,974.2,430.8,991.7,48.4,943.3,231.6,1684.2,1109.7,574.5,1527.5,1500.3,514,335.2,300.1,30.7,36.5,283.7,27.2,879.1,1226.6,9471.4,9260.4,8888.1,253.1,119.2,72.1,47.2,211.1,2.2,9890,10214.4,31961,34469,296340,6.6,2.1
10880.5,7225,5811,4809.5,1001.4,1414.1,979.5,434.5,1010.3,42.7,967.7,233.1,1762.1,1147.1,615,1537.2,1511.5,517.5,341,305.4,32.1,36.6,278.7,25.8,887.3,1256.1,9624.4,9365.6,8991.3,252.4,121.9,73,48.9,258.8,2.7,9997.9,10298.7,32396,34666,297086,6.6,3.3
11210.5,7406.9,5976.1,4957.3,1018.9,1430.7,986.2,444.6,1058.7,36.9,1021.8,223.2,1847.6,1162.5,685.2,1589.4,1567.2,538,389.5,291.3,30.1,38.4,279.8,22.2,915.4,1320.7,9889.8,9513.6,9134.3,263.2,116.1,75.1,41,376.2,3.8,10247.7,10534,33217,35380,297736,11.5,9.5
11330.2,7453,6015.2,4987.1,1028.1,1437.7,992.1,445.6,1062.2,35.9,1026.3,211.9,1917.5,1201.6,715.9,1604.5,1584,543.7,395.6,294.9,29.9,38.7,281.2,20.5,918.8,1349.2,9981.1,9648.6,9253.7,267.8,127,76.1,50.9,332.5,3.3,10279.9,10549.8,33448,35354,298408,3.7,0.6
11440.1,7508.5,6060.9,5020.1,1040.8,1447.7,1000.9,446.7,1051.1,35,1016.1,204.3,1969,1236.5,732.6,1629.1,1608.5,546.1,402.2,308.7,30.8,39,281.5,20.6,921.9,1358.9,10081.2,9782,9374.3,277.2,130.5,77.2,53.3,299.2,3,10296.3,10579.9,33696,35363,299180,4.1,1.1
11595,7641,6177.4,5125.3,1052.1,1463.6,1011.1,452.5,1042.7,36.1,1006.7,190.7,2019.5,1258.4,761,1635.4,1612.8,548.6,409.4,301.4,30.7,39.3,283.4,22.6,934.3,1399.5,10195.5,9877.8,9453.6,292.3,131.8,78.1,53.7,317.8,3.1,10470.3,10718.4,33991,35734,299946,4.6,5.3
11820.6,7832.1,6347.9,5271.8,1076.2,1484.2,1023.5,460.7,992.3,39.2,953.2,177.9,2069.2,1289.6,779.6,1706.7,1680.2,568.3,417,332.8,31.7,40.6,289.8,26.5,957.7,1462.6,10358,10018.5,9591.9,288.1,138.5,79.8,58.7,339.5,3.3,10534.4,10788.7,34457,35889,300609,6.5,2.6
11948.5,7866.8,6370.9,5288.5,1082.5,1495.9,1035.8,460.1,972.8,34.3,938.5,189.6,2168.9,1348.6,820.3,1708.4,1678.7,575,424.9,314.1,31,41.7,292,29.7,958,1488,10460.5,10144.7,9700.9,304.6,139.2,80.6,58.5,315.8,3,10581.8,10809.5,34720,35878,301284,4,0.8
12047.4,7902.1,6393.9,5301.5,1092.4,1508.2,1047.7,460.5,966,35.2,930.9,192.9,2213.4,1382.3,831.2,1732.9,1700.7,578.2,433,319.8,33.2,41.9,294.5,32.2,959.8,1500.1,10547.3,10258.8,9799.2,318.1,141.4,81.4,60,288.6,2.7,10598.7,10837.9,34918,35880,302062,3.4,1.1
12184.2,7992,6467.9,5363.6,1104.4,1524.1,1058.7,465.4,985.5,43.8,941.8,197.2,2215.1,1380,835.1,1764.4,1730.3,581.1,441.3,329.9,35.1,42.6,300.4,34.1,970.1,1522,10662.2,10366.8,9910,312.6,144.1,82,62.1,295.4,2.8,10600.5,10847,35209,35819,302829,4.4,0.3
12367,8077.9,6539,5411.4,1127.6,1538.9,1068,470.9,1017.7,55.6,962.2,225.3,2228.3,1363.3,865.1,1804.1,1768.8,597.3,449.8,332,36.7,44.2,308.8,35.3,986.5,1535.8,10831.2,10433.1,9974.4,301,157.7,82.2,75.5,398.1,3.7,10654.6,10925.3,35688,35998,303494,6.5,2.9
12720.4,8077.3,6531.6,5393.7,1137.9,1545.7,1074.9,470.8,1045.9,50,995.9,250,2186.4,1359.3,827.1,2148,2111.7,602.9,458.5,338.6,37.8,44.7,629.3,36.3,987.2,1545,11175.4,10542.1,10095.8,291.8,154.5,82.7,71.8,633.4,5.7,10553.7,11155.7,36742,36677,304160,13.3,8.7
12535.5,8094.9,6543.9,5392.9,1151,1551,1078.6,472.4,1040.9,42.8,998.1,273.4,2173.6,1376.2,797.4,1943.3,1906.2,608.9,467.3,341,58.2,45.4,385.5,37.1,990.7,1505.8,11029.7,10572.2,10124.9,292.2,155.1,83,72.2,457.5,4.1,10466.9,10899.2,36175,35747,304902,-5.1,-8.9
12386,8062.8,6512.9,5353,1160,1549.9,1078.8,471.1,1001.3,39.6,961.7,299.8,2079.8,1347.7,732.2,1930.8,1893,613.1,476.1,341.8,71.8,45.8,344.4,37.8,988.6,1444.6,10941.4,10283.5,9859.6,273.5,150.4,83.2,67.3,657.8,6,10481.8,10969.2,35801,35892,305616,-3.2,2.6
12061.8,7762.4,6230.6,5063.7,1166.9,1531.8,1075.3,456.5,944.2,30.2,914,310.8,1965.9,1299.6,666.3,2039.8,2002,651.9,484.9,357.7,100.3,49.7,357.5,37.9,961.3,1202.8,10858.9,10195.1,9770.2,271.9,153,83.3,69.7,663.9,6.1,10104.6,10948.5,35459,35752,306237,-3,-0.8
12117.7,7790.5,6256.3,5080.3,1176,1534.2,1074.9,459.3,944.6,31.9,912.8,325,1846.2,1283.9,562.4,2177.6,2139.3,662.4,492.4,368.5,128.9,50.5,436.5,38.3,966.3,1132.5,10985.2,10205.4,9769.8,277.6,158,83.5,74.5,779.8,7.1,9977.4,11026.4,35798,35932,306866,4.7,2.9
12066.8,7774,6238.9,5061.3,1177.7,1535,1077.4,457.7,976.9,35.7,941.2,344.4,1756.6,1251.1,505.5,2178.3,2139.4,667.9,498.4,378.1,146,52,397,38.9,963.4,1133.8,10933,10322.6,9890.8,279.2,152.6,83.6,69,610.4,5.6,9863.5,10905.4,35546,35456,307573,-1.9,-4.3
12132.9,7821,6279.8,5099.7,1180,1541.3,1082.3,458.9,1026.3,44.1,982.2,354.6,1703.2,1222.4,480.8,2194.4,2154.7,675.7,502.8,372.6,149.6,53.9,400.1,39.7,966.6,1139.9,10993,10377.4,9957.1,267.1,153.2,83.7,69.5,615.6,5.6,9846.3,10891,35658,35328,308285,2.2,-0.5
12234.8,7801.7,6239.6,5052.1,1187.4,1562.1,1097.6,464.4,1017.6,39.2,978.5,380.5,1706,1201.5,504.6,2301.1,2260.5,678.9,505.1,381.7,159.8,55.9,479.2,40.6,972,1193.4,11041.5,10459.1,10044.5,259.2,155.3,84,71.3,582.4,5.3,9808.3,10902,35744,35293,308901,1.8,0.4
12413.4,7947.1,6365.5,5168.7,1196.8,1581.6,1111.8,469.8,1024.7,43.2,981.5,397.3,1719.7,1195.6,524.1,2308.6,2266.8,689.2,510.7,385.3,140.5,57.1,483.9,41.9,984,1215.7,11197.6,10543.3,10137.7,252.4,153.2,83.9,69.3,654.4,5.8,9965.9,11043.8,36183,35686,309473,5.8,5.3
12543.9,8019.1,6426.4,5236.1,1190.3,1592.8,1121.6,471.2,1029.2,48.4,980.8,408.3,1739.4,1184.2,555.2,2336.2,2292.9,693.6,516.6,405.4,130.7,58.9,487.7,43.3,988.4,1257.2,11286.7,10634.5,10233.4,246.8,154.3,83.8,70.5,652.1,5.8,10037.8,11098.8,36397,35791,310099,3.2,2
12716.4,8077.9,6478.6,5288.8,1189.8,1599.3,1127.3,472,1059.3,53.2,1006,425,1793.5,1198.9,594.6,2352.9,2306.7,699,522.9,414.1,124.4,59.9,486.4,46.1,992,1290.7,11425.7,10794.6,10393.2,244.7,156.7,83.7,73,631.1,5.5,10137.2,11176.2,36770,35967,310731,5,2.8
13077.6,8209.7,6583.6,5392,1191.7,1626.1,1133.8,492.3,1103.2,75.6,1027.6,460.1,1854.2,1217.2,637,2364,2314.6,703.1,528.6,418.8,117.7,61.6,484.7,49.4,913.6,1425.4,11652.2,10923.8,10523.5,243.3,156.9,84.2,72.8,728.4,6.3,10401.7,11312.9,37436,36346,311253,8.2,5
13194.8,8248.9,6615.5,5416.8,1198.8,1633.4,1140.2,493.2,1125.2,72.3,1052.9,478,1897.2,1236.1,661.1,2361.8,2310.7,712,533.8,408.8,109.2,62.4,484.5,51.1,916.3,1443.1,11751.7,11052.3,10651.4,240.5,160.5,84.8,75.7,699.3,6,10412.2,11295.2,37692,36228,311781,3.5,-0.6
13347.3,8332,6689.6,5491.2,1198.4,1642.4,1145.1,497.3,1161.8,77.9,1083.8,491.6,1932.2,1234.7,697.5,2353.8,2302.7,716,538.6,396.2,102.3,64.6,484.9,51.1,924.1,1470.7,11876.6,11158,10754.5,243,160.5,85.8,74.8,718.6,6.1,10510.8,11355.1,38017,36347,312407,4.3,2.1
13398.4,8285.4,6643.9,5453.6,1190.2,1641.6,1148.8,492.7,1184.5,76.4,1108.1,511.6,1971.9,1238.4,733.4,2362.3,2312.9,721.8,543,398.8,99.5,64.5,485.3,49.4,917.2,1473.5,11924.9,11230.7,10827.9,238.7,164.2,87.1,77.1,694.2,5.8,10515.2,11362,38097,36299,313016,1.6,0.2
13662.4,8504,6841.1,5641.1,1200,1662.9,1153.6,509.3,1213.6,62.4,1151.1,517,2026,1270.3,755.7,2343.4,2297.7,753.2,547.6,400.4,96,67.2,433.2,45.7,941.6,1472.4,12190,11362,10956.2,240.8,165,89,76,828,6.8,10722.7,11547.8,38880,36832,313530,9.2,6.7
13814.1,8550,6878.5,5682.4,1196.1,1671.5,1160.7,510.8,1240.2,59.5,1180.7,523,2081.4,1295,786.4,2364.4,2321.3,759.4,553.1,421.1,86,69,432.6,43.1,944.9,1492.8,12321.3,11415.6,11008.3,240.1,167.1,90.9,76.3,905.7,7.4,10813.5,11636.7,39234,37054,314048,4.4,3.1
13867.1,8587.6,6906.8,5710.7,1196.2,1680.8,1168.9,511.9,1245.8,59.4,1186.3,527.3,2086,1289.8,796.2,2368.5,2327.1,765.1,559.2,419,78.2,71.3,434.3,41.4,948,1511.7,12355.4,11476.9,11073.6,240.9,162.4,92,70.4,878.5,7.1,10824.2,11630.8,39266,36963,314661,1.1,-0.2
14316.9,8798,7094.6,5893.9,1200.7,1703.4,1178,525.4,1266,64.9,1201.1,534,2301.6,1300.2,1001.5,2389.1,2348.4,770.8,565.4,428.6,75,72.9,435.6,40.7,971.8,1568.7,12748.1,11573.6,11164.3,240.8,168.5,92.4,76.1,1174.6,9.2,11168.1,11936.1,40436,37860,315269,13.3,10.9
13904.2,8705.1,6999.7,5793.6,1206.1,1705.4,1186.1,519.3,1291.5,98,1193.5,550.6,2040.2,1280.8,759.3,2405.5,2365,789.9,572,424.8,68.9,76,433.4,40.5,1088.7,1644.9,12259.3,11668.9,11256.7,241.9,170.4,92.6,77.8,590.4,4.8,10728.1,11437.7,38828,36226,315734,-14.5,-15.7
14017.2,8823.7,7102.1,5895.1,1207,1721.6,1195.3,526.3,1283,91,1192.1,561.9,2033.9,1250,783.9,2418,2377.3,795.1,568.8,437.4,64.6,78.8,432.6,40.7,1103.3,1681.3,12335.9,11697.5,11284.5,243.1,169.9,92.8,77,638.4,5.2,10817.4,11504.4,39010,36380,316225,2.5,2.4
14135.3,8880.6,7148.2,5943.2,1205,1732.4,1203.6,528.8,1286.7,91.2,1195.4,574.4,2064.2,1252.7,811.6,2438.6,2397.4,802.5,575.9,447.8,58.9,80.2,432,41.2,1109.2,1681.5,12453.8,11792.7,11379.1,244.6,169,93.5,75.5,661.1,5.3,10868.3,11571.7,39306,36522,316843,3.9,2.4
14238,8960.4,7216.7,6003,1213.8,1743.7,1211,532.6,1277.8,70.9,1206.9,581.3,2085.9,1263,823,2449.9,2407.9,808.7,583.2,448.7,57,81.2,429.1,42,1117.3,1703.6,12534.3,11943.8,11524.4,246.1,173.3,94.5,78.8,590.6,4.7,10906.2,11596.6,39481,36528,317474,2.6,0.9
14487.2,9108.3,7350.3,6127.6,1222.7,1758,1217.9,540.1,1304,70,1234,590.1,2148.7,1284.8,863.9,2476.3,2433.1,824.5,590.7,456.6,39,82.7,439.6,43.2,1140.2,1751.4,12735.8,12059.7,11636.1,246.9,176.7,96,80.7,676.1,5.3,11057.9,11725.3,40049,36872,318003,6.6,4.5
14718.1,9173.8,7405.7,6174.3,1231.5,1768.1,1225.4,542.7,1336.5,78.9,1257.6,599.6,2227.1,1302.4,924.8,2526.7,2482.2,833.3,597.9,476.9,35.7,82.8,455.6,44.6,1145.7,1755.6,12962.4,12228.2,11800.6,248.4,179.2,97.5,81.7,734.2,5.7,11171.4,11878,40693,37289,318543,7.3,5.3
14927.5,9299.6,7516.5,6274.7,1241.8,1783.1,1233.6,549.5,1345,64.1,1280.8,611.3,2264.9,1311.8,953.1,2566.1,2519.9,837.2,604.7,502.7,34,84,457.4,46.2,1159.4,1800,13127.4,12375,11941,251.2,182.8,99.1,83.8,752.5,5.7,11297.1,11997.2,41128,37587,319183,5.2,4.1
15106.2,9432.1,7632.8,6381.9,1250.9,1799.3,1242.3,557,1365.6,61,1304.5,623.3,2267.1,1304.6,962.5,2592.4,2544.5,843.6,611.1,513.5,33.2,85.3,457.8,47.9,1174.3,1840.9,13265.3,12524,12075.8,259.8,188.4,100.6,87.8,741.2,5.6,11436.6,12123.4,41478,37907,319817,4.3,4.3
15185.9,9502.3,7692,6433.8,1258.2,1810.3,1252.4,558,1351.1,38.4,1312.7,636.5,2240.4,1266,974.4,2638.9,2589,861.7,617.3,524.9,33.2,87.7,464.3,49.9,1183.3,1909.4,13276.5,12540.9,12098.9,255.9,186,102.2,83.8,735.6,5.5,11513.6,12183,41447,38033,320328,0.3,2
15401.9,9637.6,7808.8,6537.8,1271,1828.7,1263.5,565.2,1366.1,38.7,1327.4,656.6,2264.3,1315.9,948.5,2675.4,2624.1,869.5,624.1,540.9,32.1,89.4,468.2,51.3,1198.1,1937.2,13464.7,12691.2,12240.2,262.3,188.7,103.3,85.4,773.5,5.7,11625.6,12299.9,41966,38336,320846,5.8,3.9
15556.1,9740,7893.9,6613.8,1280.1,1846.1,1276.1,570,1389,44.6,1344.4,668.1,2275.1,1336.1,939,2692.1,2640,874.5,631.6,545.3,32,90,466.5,52.1,1208.3,1944.4,13611.7,12813.2,12356.9,266.2,190.1,103.9,86.2,798.5,5.9,11717.8,12398.9,42343,38571,321458,4.4,3.3
15690.2,9892.4,8024.6,6735.8,1288.9,1867.8,1290,577.8,1400.9,38.1,1362.8,677.3,2235.5,1293,942.5,2708.2,2655.8,881.5,639.8,547.3,31.4,92.2,463.5,52.4,1224.1,1963.8,13726.4,12899.6,12438.8,270.6,190.2,104,86.2,826.8,6,11813.7,12491,42621,38785,322058,3.4,3
