        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
243.1,156.3,95.6,20.7,74.9,60.7,35.9,35.4,24.8,7.9,14.9,2,10.5,0.5,10.9,18.4,15.7,2.7,7.5,5.6,1.9,40.1,26.6,22.5,4.1,13.4
246.3,160.2,98.3,21.4,76.9,61.9,34.5,35.7,25.2,7.9,15.2,2,10.6,-1.2,11.3,19.5,16.7,2.8,8.2,6.3,1.9,40.3,26.5,21.2,5.3,13.8
250.1,163.7,100.4,21.8,78.6,63.2,34.9,37.8,25.4,8.3,15,2,12.5,-2.9,11.8,19.4,16.8,2.6,7.7,5.8,1.8,39.8,25.3,20.3,5,14.5
260.3,167.8,103.5,23.5,80,64.3,43.2,41.8,26.5,8.4,16.1,2,15.3,1.5,9.3,17.6,15.1,2.5,8.3,6.2,2.2,40,24.8,20.7,4.1,15.2
266.2,170.5,105.1,23.5,81.5,65.4,47.2,43.6,28.2,8.8,17.3,2.1,15.3,3.6,7.3,16.9,14.6,2.3,9.6,7.3,2.3,41.2,25.5,20.9,4.6,15.7
272.9,174.3,107.2,24,83.2,67.1,50.3,44.5,28,9.3,16.7,2.1,16.4,5.9,5.2,15.2,13,2.2,10,7.6,2.4,43.1,26.7,20.7,6,16.4
279.5,177.2,108.7,25.3,83.5,68.5,52.5,45.4,29.1,9.9,17.1,2.1,16.3,7.2,4.9,15.4,13.1,2.3,10.5,7.7,2.7,44.8,27.5,20.8,6.7,17.3
280.7,178.1,108.7,25,83.7,69.4,51.3,45.3,30.2,10.1,18,2.1,15.2,6,4.5,14.6,12.4,2.3,10.1,7.5,2.6,46.8,28.7,21.6,7.1,18
275.4,177,107.2,24.4,82.7,69.8,43.1,42.7,28.6,9.7,16.8,2,14.2,0.4,6.5,16.1,13.7,2.4,9.6,7.2,2.4,48.8,30.2,22.5,7.7,18.6
271.7,178.6,108.3,26.4,81.9,70.3,36.2,41.4,27.5,9.4,16.1,2,13.9,-5.1,6.3,15.6,13.2,2.5,9.4,6.9,2.5,50.6,31.3,22.8,8.5,19.3
273.3,177.9,107.6,27.3,80.3,70.4,39.5,40.9,26.1,8.9,15.2,2,14.7,-1.3,5.2,14.1,11.9,2.2,8.9,6.6,2.3,50.6,30.5,22.6,7.9,20.1
271,180.4,109.3,28.4,80.9,71.1,37.5,42.2,25.6,8.7,14.8,2.1,16.5,-4.7,3,12.1,10.1,2,9.1,6.9,2.2,50.1,29.8,21.7,8.2,20.3
281.2,183.1,110.8,29.3,81.5,72.3,46.7,44.7,26.4,9.1,15.1,2.2,18.3,2,2.2,11.7,9.6,2.1,9.5,7.2,2.3,49.2,28.6,20.9,7.7,20.6
290.7,187,112.6,29.8,82.8,74.4,52.3,49.5,28.9,9.5,17.1,2.2,20.6,2.8,1.6,11.9,9.8,2.1,10.2,7.8,2.4,49.9,29,21,7.9,20.9
308.5,200.7,124,37.4,86.6,76.7,58.6,54.5,31.9,10.3,19.3,2.3,22.6,4.2,-0.7,12.3,10.2,2.1,13,10.5,2.6,50,28.4,22.7,5.7,21.5
320.3,198.1,119.9,33.3,86.7,78.1,68.4,54.4,32.9,11,19.6,2.3,21.5,14,-0.2,13.5,11.3,2.3,13.7,10.9,2.8,53.9,31.8,26.1,5.7,22.1
336.4,209.4,127.6,35.6,92,81.8,64.6,54.2,33.1,11.5,19.4,2.3,21.1,10.4,0.2,15,12.5,2.5,14.9,11.8,3.1,62.3,39.6,33.6,6,22.7
344.5,205.1,122.2,30.7,91.4,82.9,67.4,52.6,34.1,12.2,19.7,2.3,18.5,14.8,1.9,17.1,14.3,2.8,15.2,12,3.1,70,46.6,40.3,6.3,23.4
351.8,207.8,123.4,30.2,93.2,84.4,62,52.2,34.8,12.3,20.2,2.4,17.4,9.7,3.7,18.1,15.1,3,14.3,10.8,3.5,78.3,54.3,48.1,6.2,24
356.6,211.7,125.8,30.4,95.5,85.9,57.1,52.4,34.6,11.9,20.2,2.5,17.7,4.7,4.2,18.2,15.1,3.1,14,10.1,3.9,83.6,59.3,52.9,6.4,24.2
360.2,213.1,125.5,30.8,94.8,87.6,58.1,53.4,35.1,12,20.4,2.7,18.3,4.7,3.7,18.7,15.4,3.3,15,10.7,4.3,85.3,60.9,53.5,7.4,24.3
361.4,217.2,127.6,31,96.6,89.6,53,54.5,35.8,12.1,20.8,2.9,18.8,-1.5,2,16.6,13.4,3.1,14.6,10.6,4,89.2,64.1,57,7.1,25.1
368.1,219.7,127.9,29.5,98.5,91.8,57.2,51.6,32.9,12.2,17.7,3.1,18.8,5.6,0,15.2,12.4,2.8,15.3,10.8,4.5,91.2,66.2,58.7,7.5,25
381.2,227.9,134.1,33.7,100.3,93.8,60.7,55.5,35.8,12.6,19.9,3.3,19.6,5.3,-1,15.3,12.5,2.8,16.3,11.3,5.1,93.7,68.1,60.5,7.6,25.6
388.5,231.5,135.7,35.2,100.5,95.8,61.7,57.8,37.8,13.1,21.2,3.5,20,3.9,-0.7,15.1,12.1,3,15.8,11,4.8,96,69.7,61.3,8.3,26.4
392.3,233.2,135.6,35,100.6,97.6,62.1,58.5,38.5,13.5,21.3,3.7,20.1,3.6,-1.3,15.2,12.3,2.9,16.4,11.5,4.9,98.2,71.9,62,9.9,26.2
