Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
5937.3,4010.1,3236.6,2627.1,609.5,773.5,519.4,254.1,459.5,34.7,424.8,117.5,1029.4,794.2,235.2,829,815.7,312.2,164.4,139.4,23.9,19.7,156.1,13.3,508.2,693.1,5244.2,4912.8,4741,122,49.8,30.9,18.9,331.4,6.3,6829,7010.7,19906,26611,263455,4.9,2.7
6281,4202.6,3418,2789,629,784.6,520.5,264.1,484.5,22,462.4,129.2,1114,856,258,883.5,864.7,327.7,181.2,149.6,21.7,20.5,164,18.7,532.8,748.4,5532.6,5179.6,4984.2,142.6,52.9,32.6,20.3,352.9,6.4,7068.9,7245.8,20753,27180,266588,5.5,3.4
6667,4422.1,3616.5,2968.4,648.1,805.6,530.8,274.8,547.4,37.3,510.1,147,1176.5,874.3,302.2,929.2,906.3,342,194.9,158.2,22.3,21.4,167.6,22.9,555.1,837.1,5829.9,5484.7,5268.1,159.1,57.6,34.9,22.6,345.2,5.9,7358,7476.1,21615,27719,269714,5.4,3.2
7080.7,4714.7,3876.8,3205,671.9,837.8,548.3,289.6,587.9,32.4,555.5,152,1258.5,920.5,337.9,954.9,935.4,356.6,206.9,163.1,20.1,22.3,166.4,19.4,587.2,931.8,6148.8,5796.7,5560.7,172.1,63.9,38.2,25.7,352.2,5.7,7722.2,7751.3,22527,28397,272958,5.5,3.7
7593.7,5077.8,4181.6,3480.3,701.3,896.2,589,307.2,644.2,28.4,615.7,169.9,1342.5,987.1,355.4,983.9,957.9,369.2,205.6,170.2,19.7,23.3,170,26,624.7,1032.4,6561.3,6156,5903,183.4,69.5,39.9,29.7,405.3,6.2,8268.8,8208.1,23759,29723,276154,6.7,5.9
7988.4,5410.3,4458,3724.2,733.8,952.3,629,323.3,700.4,28.1,672.3,183.1,1329.7,983.3,346.4,1026.2,992.2,379.9,208.7,184.6,20.5,24.1,174.4,34,661.3,1112.1,6876.3,6573,6307,190.2,75.8,44.1,31.8,303.3,4.4,8583.7,8477.7,24617,30350,279328,4.8,3.3
8637.1,5856.6,4825.9,4046.1,779.8,1030.7,685.5,345.2,757.8,31.5,726.3,187.7,1453.5,1070.2,383.3,1087.3,1044.9,401.4,219.1,199.5,20.7,25,179.1,42.4,705.8,1236.6,7400.5,7092.8,6792.4,217.5,82.9,48.8,34.1,307.7,4.2,9081.8,8902.2,26206,31524,282398,7.6,5
8991.6,6046.5,4954.4,4132.4,822,1092.1,734.1,358,836.8,32.1,804.7,207.5,1441.3,1072.2,369.2,1192.6,1145.8,425.1,242.6,227.3,31.9,26.6,192.4,46.8,733.2,1239.3,7752.3,7417.1,7103.1,223.2,90.8,52.9,37.9,335.2,4.3,9203.9,9148.7,27179,32075,285225,4.8,2.8
9153.9,6141.9,4996.4,4123.3,873.2,1145.5,779.5,366,871,19.9,851.1,217.3,1390.4,991.8,398.6,1284.7,1250.5,446.9,259.2,250,53.5,29.5,211.4,34.2,751.5,1054.7,8099.2,7693.9,7384.1,213,96.9,56.4,40.5,405.3,5,9163.7,9431.6,28127,32754,287955,4.5,3.1
9491.1,6364.5,5137.8,4224.5,913.3,1226.6,844.1,382.5,900.1,38,862,238,1420.5,988.2,432.3,1347.3,1321.1,463.5,276.7,264.5,53.2,31.8,231.3,26.3,779.3,1005.3,8485.8,8076.2,7765.5,209.8,100.8,60.5,40.3,409.6,4.8,9299.5,9690.1,29198,33342,290626,4.8,2.7
