"Table 1.1.4. Price Indexes for Gross Domestic Product"
"[Index numbers, 2009=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11","            Equipment",23.083,22.158,21.002,19.809,19.032,20.105,19.927,19.896,21.035,21.541,21.314,21.885,23.277,25.600,25.734,26.229,26.671,29.197,33.076,35.462,36.873,37.802,41.013,41.840,41.930,42.934,43.353,46.578,49.200,50.159,51.078,51.509,51.229,50.987,50.722,50.694,50.760,50.924,52.089,53.519,55.032,57.092,58.898,59.671,60.680,65.231,75.167,79.781,84.683,89.387,95.169,103.547,111.123,115.712,116.045,115.097,115.097,117.409,118.174,119.808,122.098,124.594,126.705,126.513,125.034,124.812,123.445,120.646,117.318,112.054,107.728,105.386,102.280,100.246,98.520,98.360,98.639,98.317,98.602,98.691,100.000,98.009,98.858,99.861,100.047,100.482,101.277,101.497
"12","            Intellectual property products",15.760,15.088,14.136,12.845,11.950,12.163,12.360,12.657,13.149,13.087,13.154,13.360,14.124,15.692,17.332,18.827,19.345,20.375,22.372,23.532,23.574,24.126,25.609,25.933,26.386,26.558,27.238,28.257,29.155,29.861,30.347,30.810,31.010,31.161,31.201,31.682,31.905,32.389,32.883,34.032,35.531,37.225,38.587,39.738,41.705,45.598,49.258,51.435,53.693,56.488,60.243,64.895,69.739,73.699,76.451,78.594,79.901,80.523,81.965,84.520,85.586,86.456,88.505,87.461,88.068,88.422,90.901,91.212,91.725,91.320,93.074,96.128,96.408,95.408,95.193,95.110,95.987,97.509,99.181,100.827,100.000,100.541,101.883,102.967,103.755,104.772,105.583,106.486
"13","        Residential",5.143,5.032,4.556,3.714,3.658,4.062,4.005,4.200,4.611,4.758,4.788,4.933,5.389,5.788,6.263,6.870,7.334,7.963,9.538,10.340,10.477,10.736,11.505,11.821,11.906,11.955,12.203,12.514,12.547,12.517,12.553,12.639,12.658,12.678,12.579,12.677,13.033,13.505,13.970,14.709,15.743,16.249,17.190,18.236,19.856,21.907,23.933,25.483,28.084,31.533,35.094,38.880,42.026,44.280,45.328,46.671,47.953,50.068,52.234,54.052,55.819,57.105,57.848,58.561,60.945,63.150,65.408,66.812,68.424,70.229,72.860,76.093,79.705,81.679,85.549,91.546,98.103,103.821,105.176,103.647,100.000,99.645,100.395,101.324,106.393,112.795,115.479,119.303
"14","    Change in private inventories","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"15","Net exports of goods and services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"16","    Exports",14.989,13.571,10.678,9.261,9.260,10.737,11.010,11.382,12.138,11.579,11.424,12.390,13.529,16.353,17.888,20.147,19.978,19.307,22.416,23.611,22.202,21.620,24.427,24.576,24.507,24.174,24.380,25.196,26.151,25.887,25.939,26.306,26.707,26.773,26.712,26.931,27.790,28.634,29.736,30.376,31.391,32.623,33.811,35.297,39.938,49.205,54.232,56.012,58.294,61.846,69.291,76.319,81.972,82.349,82.675,83.444,80.966,79.596,81.381,85.550,86.970,87.461,88.436,88.004,88.139,89.159,91.153,89.937,88.349,86.258,85.578,87.159,86.649,86.092,87.786,90.845,94.717,97.979,101.107,105.809,100.000,104.263,110.960,111.970,112.064,112.134,106.778,104.899
"17","        Goods",18.054,16.150,12.396,10.686,11.181,13.080,13.400,13.722,14.543,13.458,13.162,14.115,15.128,18.423,20.312,23.260,23.165,21.986,26.157,27.844,25.795,24.938,28.589,28.463,28.175,27.774,28.037,29.100,30.047,29.719,30.007,30.209,30.784,30.543,30.445,30.651,31.718,32.801,34.176,34.702,35.778,37.396,38.397,39.422,45.620,57.426,63.736,65.464,67.894,71.805,81.112,88.878,95.193,94.393,93.829,94.669,89.955,86.838,88.821,94.299,95.509,94.667,94.624,93.145,92.675,93.728,95.954,93.514,90.918,88.051,86.859,88.365,87.850,87.205,88.991,92.248,95.469,98.828,102.186,107.204,100.000,105.033,113.048,113.526,112.774,111.804,104.196,100.566
"18","        Services",7.385,7.386,6.878,6.173,4.681,5.105,5.268,5.781,6.401,7.272,7.528,8.675,10.401,12.225,13.075,14.082,13.755,14.305,14.537,14.379,14.696,14.841,15.621,16.513,17.006,16.822,16.899,17.121,18.195,18.072,17.648,18.275,18.338,18.970,18.982,19.222,19.660,20.027,20.590,21.409,22.279,22.756,24.234,26.500,27.816,31.328,33.492,35.430,37.418,40.215,43.524,49.067,53.345,56.366,58.609,59.222,61.354,63.450,64.809,66.253,68.088,71.314,74.358,76.105,77.506,78.446,79.922,81.498,82.324,82.152,82.772,84.544,84.047,83.702,85.185,87.787,93.179,96.219,98.823,102.813,100.000,102.641,106.477,108.640,110.560,112.868,112.317,114.115
"19","    Imports",10.654,9.085,7.342,5.885,5.640,6.408,6.514,6.970,7.778,7.188,7.544,8.047,8.499,9.735,10.479,11.007,11.316,12.617,15.116,16.428,15.657,16.631,20.101,19.373,18.541,18.793,18.693,19.023,19.239,18.440,18.606,18.784,18.784,18.562,18.923,19.322,19.590,20.047,20.125,20.430,20.963,22.203,23.566,25.217,29.600,42.348,45.874,47.255,51.418,55.049,64.463,80.294,84.611,81.760,78.695,78.015,75.452,75.451,80.020,83.849,85.681,88.138,87.404,87.474,86.804,87.619,90.020,88.451,85.376,80.779,81.280,84.818,82.716,81.712,84.512,88.471,93.802,97.663,101.024,111.588,100.000,105.800,113.942,114.671,113.634,113.368,104.726,101.569
"20","        Goods",10.852,8.954,7.002,5.488,5.492,6.270,6.372,6.840,7.643,6.851,6.975,7.445,7.985,9.250,10.030,10.712,10.973,12.363,15.180,16.764,15.869,17.166,21.551,20.488,19.610,20.031,19.977,20.369,20.551,19.477,19.619,19.828,19.639,19.170,19.346,19.868,19.966,20.416,20.445,20.720,21.304,22.752,23.918,25.750,30.351,45.418,49.223,50.539,55.169,58.848,69.393,87.563,92.438,88.704,84.996,84.411,81.089,79.273,84.926,88.972,91.462,93.141,91.380,90.881,89.865,90.520,92.933,90.577,86.836,81.590,81.687,85.988,83.548,82.085,84.553,88.700,94.581,98.665,102.188,113.852,100.000,106.737,116.178,116.918,115.340,114.619,104.417,100.690
"21","        Services",9.540,9.134,8.110,6.873,5.817,6.491,6.605,6.966,7.735,7.984,9.258,9.851,9.848,11.009,11.737,12.082,12.472,13.623,15.219,15.757,15.321,15.351,16.257,16.292,15.590,15.547,15.381,15.589,15.846,15.517,15.709,15.823,16.128,16.339,17.010,17.154,17.752,18.198,18.375,18.733,19.115,19.797,21.589,22.664,26.217,31.176,33.706,35.227,37.731,41.158,46.481,53.944,56.290,56.335,55.409,54.457,54.390,60.283,61.139,64.121,63.782,68.561,71.069,73.064,73.684,75.130,77.475,79.408,79.406,77.853,80.428,80.012,79.636,80.973,85.548,88.576,91.089,93.826,96.417,101.809,100.000,101.816,104.105,104.789,106.195,108.018,106.628,106.144
"22","Government consumption expenditures and gross investment",5.810,5.636,5.359,4.867,4.997,5.377,5.425,5.616,5.733,5.759,5.668,5.618,5.972,6.043,6.034,5.957,6.021,7.625,8.301,8.614,8.841,8.912,9.447,9.645,9.757,9.966,10.355,10.912,11.387,11.732,11.883,12.022,12.244,12.479,12.782,13.115,13.470,14.006,14.486,15.264,16.157,17.439,18.823,20.241,21.583,23.635,25.809,27.210,28.873,30.724,33.206,36.641,40.215,42.822,44.478,46.272,47.710,48.536,49.868,51.468,53.450,55.673,57.672,59.473,60.893,62.510,64.324,65.656,66.932,68.068,70.403,73.431,75.559,77.426,80.341,83.947,88.235,92.086,96.140,100.282,100.000,102.673,105.717,107.378,109.046,111.263,111.605,112.720
"23","    Federal",7.250,6.932,6.895,6.557,6.576,7.014,7.059,7.681,7.791,7.899,7.764,7.512,7.939,7.883,7.812,7.678,7.741,10.120,10.852,10.776,11.175,11.271,11.700,11.835,11.934,12.222,12.812,13.436,14.027,14.576,14.707,14.814,15.004,15.224,15.606,16.086,16.482,17.039,17.418,18.291,19.221,20.726,22.415,24.368,25.995,28.042,30.478,32.352,34.256,36.425,39.045,42.862,46.949,50.184,51.828,53.779,54.920,55.227,55.653,57.361,58.929,60.807,63.068,64.642,66.040,67.790,69.945,71.129,72.224,73.059,74.867,77.341,78.748,81.310,84.773,87.736,91.449,94.448,97.319,100.286,100.000,102.614,105.422,106.512,107.581,109.431,109.979,111.069
"24","        National defense",7.139,6.928,6.850,6.679,6.635,6.924,7.156,7.303,7.476,7.499,7.495,7.251,7.705,7.533,7.443,7.301,7.355,9.772,10.660,10.631,10.928,11.118,11.438,11.505,11.554,11.856,12.457,13.141,13.719,14.236,14.338,14.442,14.580,14.768,15.162,15.587,15.992,16.554,16.948,17.793,18.687,20.077,21.744,23.987,25.631,27.692,29.955,31.850,33.854,36.154,38.840,42.887,47.111,50.518,52.252,54.314,55.228,55.327,55.787,57.389,58.897,60.880,62.888,64.661,65.636,67.261,69.266,70.451,71.435,72.230,74.034,76.467,77.874,80.529,84.475,87.371,91.395,94.633,97.572,100.809,100.000,102.365,105.274,106.466,107.167,108.699,108.923,109.768
"25","        Nondefense",7.041,6.614,6.623,6.132,6.198,6.684,6.651,7.419,7.500,7.634,7.459,7.210,7.518,8.436,8.779,9.109,9.435,10.709,10.662,10.406,11.080,10.878,11.760,12.398,12.882,13.025,13.455,13.592,14.187,14.889,15.233,15.347,15.801,16.161,16.459,17.133,17.479,17.990,18.292,19.228,20.251,22.099,23.799,24.926,26.484,28.468,31.260,33.066,34.741,36.623,39.088,42.416,46.190,49.025,50.452,52.123,53.836,54.690,55.026,57.029,58.756,60.347,63.228,64.333,66.638,68.639,71.086,72.267,73.566,74.471,76.285,78.829,80.237,82.645,85.297,88.377,91.529,94.101,96.849,99.321,100.000,103.064,105.691,106.600,108.296,110.668,111.724,113.186
"26","    State and local",3.968,3.862,3.632,3.259,3.372,3.643,3.680,3.698,3.793,3.786,3.729,3.762,4.009,4.413,4.705,4.886,5.063,5.550,6.246,6.989,7.056,7.106,7.807,8.149,8.311,8.436,8.610,9.154,9.545,9.691,9.877,10.062,10.333,10.602,10.847,11.058,11.392,11.937,12.543,13.276,14.180,15.323,16.505,17.560,18.716,20.767,22.768,23.868,25.372,27.017,29.399,32.582,35.822,38.010,39.698,41.405,43.095,44.339,46.407,47.955,50.275,52.781,54.621,56.599,58.046,59.591,61.209,62.624,63.998,65.287,67.877,71.162,73.628,75.143,77.761,81.719,86.333,90.677,95.426,100.279,100.000,102.714,105.923,107.985,110.063,112.522,112.732,113.864
