    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
46245,46481,37969,33448,31010,10798,3844,6955,20212,48891,49152,35354,32777,10951,3620,7337,21820,298408
46489,46679,38238,33696,31333,10922,3870,7051,20412,48809,49021,35363,32884,11012,3660,7354,21864,299180
46896,47122,38657,33991,31518,10873,3888,6986,20644,49065,49313,35734,33134,11154,3699,7458,21969,299946
47348,47576,39322,34457,31908,10985,3903,7081,20923,48987,49235,35889,33235,11189,3733,7457,22035,300609
47869,48170,39659,34720,32199,11123,3933,7190,21076,49251,49572,35878,33273,11206,3778,7425,22055,301284
48234,48724,39884,34918,32441,11172,3940,7231,21270,49455,49969,35880,33335,11231,3810,7416,22093,302062
48494,49137,40235,35209,32725,11289,3930,7359,21436,49506,50172,35819,33292,11211,3816,7392,22070,302829
48332,48926,40749,35688,32865,11223,3797,7427,21642,49060,49670,35998,33150,11034,3699,7335,22111,303494
48701,49308,41821,36742,33192,11372,3748,7624,21821,49196,49811,36677,33134,11048,3679,7370,22079,304160
48681,49344,41113,36175,33207,11316,3614,7702,21891,48841,49506,35747,32814,10812,3558,7255,22001,304902
47609,48005,40528,35801,32261,10430,3322,7108,21832,47697,48098,35892,32344,10423,3294,7128,21924,305616
46970,47389,39387,35459,31904,10244,3305,6939,21661,46941,47363,35752,32167,10413,3294,7119,21756,306237
46732,47138,39489,35798,31837,10260,3274,6986,21577,46781,47189,35932,31957,10320,3267,7053,21636,306866
46767,47350,39232,35546,32158,10550,3400,7150,21608,46826,47409,35456,32076,10478,3416,7063,21597,307573
47250,47807,39356,35658,32298,10586,3343,7243,21712,47170,47724,35328,31999,10429,3346,7083,21569,308285
47527,48186,39608,35744,32517,10699,3367,7331,21818,47280,47879,35293,32106,10511,3383,7127,21595,308901
48110,48773,40111,36183,32758,10746,3440,7306,22012,47649,48253,35686,32308,10625,3478,7148,21683,309473
48558,49202,40451,36397,33001,10843,3467,7376,22158,47873,48457,35791,32451,10703,3527,7178,21748,310099
49014,49707,40924,36770,33448,11130,3549,7581,22318,48077,48704,35967,32717,10879,3628,7255,21838,310731
48958,49691,42016,37436,33810,11354,3583,7771,22456,47811,48470,36346,32826,10939,3668,7277,21886,311253
49589,50330,42321,37692,34163,11508,3568,7940,22655,48077,48736,36228,32836,10899,3638,7267,21936,311781
49894,50712,42724,38017,34425,11565,3597,7968,22859,48082,48812,36347,32913,10901,3677,7233,22012,312407
50430,51298,42804,38097,34592,11664,3673,7990,22928,48529,49305,36299,32959,10985,3775,7228,21972,313016
50948,51750,43576,38880,34945,11847,3760,8087,23098,48771,49477,36832,33104,11100,3872,7252,22001,313530
51336,52073,43987,39234,35053,11836,3762,8074,23217,48917,49561,37054,33105,11112,3891,7247,21990,314048
51573,52326,44070,39266,35192,11901,3795,8106,23291,48881,49537,36963,33128,11166,3948,7249,21959,314661
51693,52425,45412,40436,35412,11990,3847,8143,23422,48797,49431,37860,33156,11208,4018,7230,21946,315269
52181,52900,44038,38828,35652,12123,3922,8201,23529,49066,49684,36226,33263,11348,4108,7286,21913,315734
52309,53083,44327,39010,35685,12028,3912,8116,23657,49084,49751,36380,33280,11366,4123,7290,21911,316225
52863,53659,44613,39306,35914,12103,3918,8185,23811,49366,50051,36522,33370,11427,4156,7320,21942,316843
53547,54345,44848,39481,36300,12197,3937,8260,24103,49749,50432,36528,33585,11517,4198,7369,22067,317474
53538,54329,45557,40049,36591,12266,3951,8316,24325,49518,50193,36872,33688,11566,4238,7383,22121,318003
54265,55026,46204,40693,37045,12455,4047,8408,24591,49917,50562,37289,33946,11737,4363,7440,22212,318543
55045,55863,46768,41128,37411,12531,4099,8432,24880,50424,51118,37587,34190,11838,4445,7468,22355,319183
55320,56060,47234,41478,37759,12551,4144,8408,25207,50612,51237,37907,34508,11964,4528,7518,22549,319817
55517,56195,47407,41447,37770,12352,4155,8197,25418,50789,51364,38033,34659,12023,4567,7542,22641,320328
56096,56731,48004,41966,38150,12500,4218,8282,25649,51034,51569,38336,34850,12131,4643,7579,22727,320846
56436,57029,48392,42343,38440,12577,4245,8332,25863,51188,51683,38571,35015,12234,4705,7625,22794,321458
56582,57239,48718,42621,38623,12539,4259,8279,26084,51204,51756,38785,35147,12275,4742,7633,22883,322058
56679,57214,48799,42807,38747,12428,4237,8191,26319,51233,51677,38927,35236,12292,4728,7661,22954,322549
57110,57753,49307,43265,39288,12646,4303,8343,26643,51331,51871,39148,35550,12483,4832,7755,23087,323064
57698,58328,49775,43651,39645,12704,4369,8335,26942,51678,52205,39354,35743,12567,4957,7731,23198,323675
58189,58939,50160,44007,40117,12913,4443,8470,27203,51849,52479,39477,35987,12728,5083,7780,23292,324275
