    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
3261,3283,2523,2243,1952,1014,265,749,938,18215,18374,12497,10873,3547,483,3676,7149,186926
3267,3292,2546,2261,1978,1028,275,754,949,18212,18390,12556,10983,3588,502,3682,7210,187680
3307,3331,2567,2279,1990,1036,279,757,954,18354,18525,12622,11021,3610,510,3690,7215,188299
3345,3368,2584,2296,2006,1041,285,756,964,18534,18699,12699,11091,3628,520,3690,7271,188906
3401,3425,2612,2324,2035,1054,288,766,981,18823,18991,12790,11199,3650,524,3710,7370,189631
3440,3464,2651,2361,2051,1056,293,763,995,18885,19056,12949,11249,3648,530,3691,7442,190362
3515,3541,2693,2412,2095,1082,304,778,1013,19233,19418,13162,11435,3721,549,3742,7538,190954
3554,3579,2734,2474,2130,1101,310,791,1029,19401,19579,13473,11599,3788,562,3802,7619,191560
3604,3630,2774,2506,2169,1125,319,806,1044,19593,19775,13598,11770,3862,578,3862,7691,192256
3620,3644,2810,2534,2175,1115,308,808,1059,19593,19764,13703,11761,3820,558,3856,7769,192938
3718,3746,2859,2565,2224,1151,336,815,1073,20021,20212,13826,11991,3934,609,3882,7836,193467
3775,3804,2901,2600,2254,1163,334,829,1091,20240,20435,13945,12091,3951,608,3908,7934,193994
3854,3881,2965,2672,2293,1186,343,843,1108,20582,20766,14279,12257,4019,627,3954,8016,194647
3959,3983,3024,2725,2358,1227,354,873,1130,20999,21169,14520,12561,4160,651,4087,8126,195279
4073,4098,3081,2767,2405,1259,369,889,1146,21464,21640,14628,12715,4228,680,4107,8189,195763
4112,4138,3123,2789,2424,1258,355,903,1166,21496,21671,14627,12713,4196,651,4135,8256,196277
4169,4194,3181,2836,2463,1280,367,913,1183,21583,21755,14760,12819,4243,671,4152,8298,196877
4228,4254,3240,2883,2485,1281,368,913,1204,21701,21879,14885,12833,4221,668,4127,8362,197481
4274,4300,3287,2927,2501,1280,359,921,1220,21847,22023,15070,12876,4222,654,4164,8419,197967
4288,4314,3314,2957,2541,1303,375,927,1238,21812,21984,15151,13019,4285,681,4184,8479,198455
4355,4383,3374,3003,2570,1309,375,933,1261,21939,22125,15251,13049,4260,673,4169,8570,199012
4425,4453,3423,3042,2600,1320,379,941,1280,22053,22235,15318,13092,4265,673,4176,8617,199572
4556,4585,3513,3120,2684,1372,404,968,1312,22454,22639,15547,13374,4392,713,4249,8732,199995
4671,4701,3605,3197,2747,1401,414,987,1346,22781,22969,15770,13547,4447,727,4291,8848,200452
4738,4769,3687,3230,2820,1445,436,1009,1375,22883,23075,15766,13764,4544,758,4348,8937,200997
4814,4845,3755,3279,2856,1453,436,1017,1403,22923,23114,15831,13790,4524,751,4337,9011,201538
4929,4960,3819,3311,2911,1480,446,1034,1431,23231,23423,15830,13915,4575,764,4376,9072,201955
4996,5027,3905,3383,2960,1495,447,1048,1465,23252,23438,15968,13972,4568,760,4376,9163,202419
5084,5113,4000,3487,3003,1511,446,1064,1492,23332,23511,16260,14001,4564,756,4380,9210,202986
5112,5142,4064,3545,3053,1526,446,1079,1527,23162,23340,16339,14071,4566,750,4396,9297,203584
