Date,Open,High,Low,Close,Volume,Adj Close
2017-04-03,11495.330078,11560.820312,11394.339844,11464.339844,3703175000,11464.339844
2017-03-01,11593.209961,11687.070312,11324.50,11492.849609,3691386000,11492.849609
2017-02-01,11244.820312,11590.349609,11171.570312,11512.400391,3861713600,11512.400391
2017-01-03,11138.849609,11344.740234,11094.290039,11222.959961,3728531500,11222.959961
2016-12-01,10860.419922,11688.450195,10812.75,11056.900391,3710578000,11056.900391
2016-11-01,10508.009766,10890.040039,10281.480469,10838.480469,4468273300,10838.480469
2016-10-03,10721.849609,10721.849609,10425.910156,10481.889648,3672334700,10481.889648
2016-09-01,10762.450195,10903.860352,10487.799805,10721.730469,3878265700,10721.730469
2016-08-01,10768.75,10892.150391,10619.389648,10764.75,3451160800,10764.75
2016-07-01,10495.080078,10815.429688,10308.219727,10785.509766,3678454500,10785.509766
2016-06-01,10385.929688,10648.049805,9918.719727,10489.759766,4157978100,10489.759766
2016-05-02,10450.129883,10503.410156,10119.650391,10441.00,3791220000,10441.00
2016-04-01,10132.580078,10593.209961,10004.769531,10436.919922,4087129000,10436.919922
2016-03-01,9626.879883,10281.69043,9613.959961,10207.370117,4379759000,10207.370117
2016-02-01,9578.919922,9682.929688,8944.049805,9559.530273,4881887000,9559.530273
2016-01-04,10020.049805,10039.959961,8937.990234,9632.700195,5153017800,9632.700195
2015-12-01,10447.05957,10523.790039,9880.419922,10143.419922,3922935900,10143.419922
2015-11-02,10474.580078,10641.620117,10141.549805,10409.589844,4007931000,10409.589844
2015-10-01,9832.330078,10538.219727,9697.269531,10460.959961,4095504500,10460.959961
2015-09-01,10176.50,10362.259766,9565.240234,9799.69043,4024497100,9799.69043
2015-08-03,10883.469727,10916.219727,9509.589844,10176.50,4216280400,10176.50
2015-07-01,10844.459961,11032.610352,10622.320312,10882.280273,3709178600,10882.280273
2015-06-01,11081.669922,11170.820312,10768.620117,10805.200195,3512325400,10805.200195
2015-05-01,11074.950195,11254.870117,10961.179688,11056.299805,3298780000,11056.299805
2015-04-01,10906.129883,11248.990234,10834.019531,11049.740234,3646220000,11049.740234
2015-03-02,11053.660156,11115.580078,10659.030273,10899.19043,3638745400,10899.19043
2015-02-02,10567.959961,11142.55957,10495.709961,11062.790039,3806470500,11062.790039
2015-01-02,10859.799805,10889.25,10442.799805,10537.219727,4094934500,10537.219727
2014-12-01,10933.110352,11008.540039,10360.030273,10839.240234,3788631300,10839.240234
2014-11-03,10834.400391,11068.269531,10704.55957,10955.410156,3479201500,10955.410156
2014-10-01,10688.650391,10846.089844,9886.080078,10845.00,4260310800,10845.00
2014-09-02,11050.570312,11108.389648,10685.00,10702.929688,3364624700,10702.929688
2014-08-01,10699.80957,11054.19043,10557.610352,11046.290039,2875718500,11046.290039
2014-07-01,11002.370117,11105.849609,10726.379883,10726.429688,3214440400,10726.429688
2014-06-02,10760.540039,11025.919922,10729.969727,10979.419922,3158130000,10979.419922
2014-05-01,10626.509766,10760.870117,10518.950195,10756.30957,3185100900,10756.30957
2014-04-01,10538.44043,10669.429688,10271.360352,10627.169922,3589287600,10627.169922
2014-03-03,10349.299805,10550.240234,10272.089844,10527.769531,3579015700,10527.769531
2014-02-03,9967.69043,10471.629883,9732.469727,10425.860352,3875949400,10425.860352
2014-01-02,10352.709961,11334.650391,9908.030273,9967.650391,3806266600,9967.650391
2013-12-02,10173.769531,10406.769531,9925.620117,10400.320312,3203412300,10400.320312
2013-11-01,10010.269531,10229.570312,9909.540039,10183.230469,3261324500,10183.230469
2013-10-01,9624.179688,10127.629883,9441.660156,10009.639648,3498866500,10009.639648
2013-09-03,9357.80957,9906.320312,9296.269531,9621.240234,3474152000,9621.240234
2013-08-01,9617.290039,9690.099609,9246.889648,9270.660156,3069868600,9270.660156
2013-07-01,9154.259766,9682.110352,9074.589844,9558.830078,3270645900,9558.830078
2013-06-03,9317.389648,9412.049805,8814.759766,9112.69043,3996199000,9112.69043
2013-05-01,9248.450195,9695.459961,9169.780273,9302.269531,3661220400,9302.269531
2013-04-01,9098.05957,9276.879883,8890.450195,9276.879883,3674685000,9276.879883
2013-03-01,8827.830078,9128.889648,8779.839844,9107.040039,3591577500,9107.040039
2013-02-01,8931.459961,9004.410156,8700.730469,8868.719727,3851884200,8868.719727
2013-01-02,8571.530273,8944.290039,8571.080078,8894.709961,3802304200,8894.709961
2012-12-03,8260.429688,8519.139648,8205.330078,8443.509766,3479625500,8443.509766
2012-11-01,8231.669922,8339.780273,7841.759766,8260.429688,3593110000,8260.429688
2012-10-01,8276.089844,8470.69043,8152.790039,8221.400391,3587115700,8221.400391
