        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
104.6,77.4,43.8,9.8,33.9,33.6,17.2,15.6,11.6,5.5,5.5,0.6,4.1,1.5,0.4,5.9,5.3,0.6,5.6,4.5,1.1,9.6,1.9,1,0.8,7.7
92.2,70.1,38.2,7.7,30.5,32,11.4,11.7,9.2,4.4,4.2,0.6,2.5,-0.2,0.3,4.4,3.9,0.5,4.1,3.1,1,10.3,2,1.1,0.9,8.3
77.4,60.7,31.7,5.9,25.8,29,6.5,7.7,5.8,2.6,2.6,0.5,1.9,-1.1,0,2.9,2.5,0.4,2.9,2.1,0.8,10.2,2,1.1,1,8.1
59.5,48.7,24.1,4,20.2,24.6,1.8,4.2,3.3,1.4,1.5,0.4,0.9,-2.4,0,2,1.7,0.3,1.9,1.3,0.6,9,2,1,1,7
57.2,45.9,23.8,3.8,20,22.2,2.3,3.7,3,1.1,1.4,0.4,0.7,-1.4,0.1,2,1.7,0.3,1.9,1.5,0.4,8.9,2.4,1,1.5,6.5
66.8,51.5,28.5,4.6,23.9,23,4.3,4.9,3.8,1.2,2.1,0.5,1,-0.6,0.3,2.6,2.2,0.3,2.2,1.8,0.5,10.7,3.4,0.9,2.5,7.3
74.3,55.9,31.6,5.5,26.1,24.3,7.4,6.2,4.8,1.4,2.8,0.6,1.4,1.1,-0.2,2.8,2.4,0.4,3,2.5,0.5,11.2,3.6,1.2,2.4,7.6
84.9,62.2,36,6.7,29.2,26.2,9.4,8.2,6.4,1.9,3.9,0.6,1.8,1.2,-0.1,3,2.6,0.4,3.2,2.5,0.6,13.4,5.8,1.4,4.4,7.7
93,66.8,38.4,7.4,31,28.5,13,10.3,8.2,2.7,4.8,0.7,2.2,2.6,0.1,4,3.5,0.6,4,3.2,0.8,13.1,5.3,1.4,3.8,7.9
87.4,64.3,36,6.1,29.9,28.3,7.9,8.5,6.3,2.1,3.4,0.8,2.2,-0.6,1,3.8,3.2,0.6,2.8,2.2,0.7,14.2,5.9,1.5,4.4,8.3
