    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
23901,24040,19611,17235,15291,5961,1987,3974,9331,35794,36024,25555,22674,6839,1573,5637,15957,250181
24352,24477,20011,17688,15620,5906,1882,4024,9714,35295,35491,25395,22426,6615,1469,5546,16003,253530
25452,25573,21069,18684,16408,6085,1978,4107,10324,36068,36256,26133,22951,6733,1533,5579,16431,256922
26428,26551,21703,19211,17178,6310,2119,4191,10868,36580,36768,26216,23441,6922,1626,5647,16718,260282
27742,27833,22536,19906,17996,6629,2305,4325,11366,37598,37741,26611,24057,7200,1735,5797,17025,263455
28749,28857,23561,20753,18696,6810,2385,4426,11886,38167,38326,27180,24486,7328,1782,5870,17328,266588
30033,30150,24719,21615,19532,7110,2507,4603,12422,39156,39325,27719,25047,7567,1893,5970,17629,269714
31538,31626,25941,22527,20372,7352,2621,4731,13020,40427,40556,28397,25681,7834,2023,6073,17977,272958
32913,32979,27498,23759,21376,7636,2822,4814,13740,41737,41836,29723,26741,8261,2241,6226,18587,276154
34585,34682,28599,24617,22579,8187,3063,5124,14393,43196,43330,30350,27838,8810,2500,6465,19087,279328
36419,36550,30585,26206,24053,8686,3232,5454,15367,44475,44649,31524,28933,9165,2685,6599,19828,282398
37240,37422,31525,27179,24904,8853,3301,5553,16050,44464,44694,32075,29390,9349,2798,6647,20093,285225
38122,38291,31789,28127,25643,9024,3422,5602,16619,44829,45041,32754,29862,9620,2975,6706,20275,287955
39606,39837,32657,29198,26720,9364,3501,5863,17356,45664,45943,33342,30512,9994,3157,6877,20531,290626
41857,42160,34280,30697,28166,9890,3682,6208,18276,46967,47321,34221,31399,10407,3386,7037,20993,293262
44237,44549,35859,31760,29711,10407,3808,6598,19304,48090,48442,34424,32203,10734,3537,7204,21465,295993
46369,46595,38130,33589,31136,10829,3869,6960,20307,48905,49156,35458,32868,11019,3653,7370,21841,298818
47987,48404,39776,34826,32319,11142,3927,7216,21177,49300,49738,35866,33284,11209,3784,7422,22063,301696
48330,48895,41052,36101,32881,11084,3619,7465,21796,48697,49270,36078,32860,10829,3557,7272,22028,304543
46930,47422,39366,35616,32050,10410,3331,7080,21640,46930,47422,35616,32050,10410,3331,7080,21640,307240
48303,48968,40275,36274,32931,10855,3456,7399,22077,47720,48324,35685,32396,10680,3504,7177,21716,309801
49719,50509,42467,37811,34248,11523,3605,7917,22725,48125,48831,36305,32884,10931,3689,7251,21952,312114
51388,52144,44263,39455,35151,11894,3791,8102,23257,48841,49501,37179,33123,11147,3932,7245,21974,314377
52726,53498,44457,39157,35888,12113,3922,8190,23776,49317,49980,36414,33375,11415,4147,7316,21958,316569
54543,55321,46442,40838,37202,12451,4060,8391,24751,50119,50778,37415,34084,11777,4394,7452,22309,318887
56159,56799,48131,42095,38246,12492,4220,8273,25754,51054,51593,38432,34918,12166,4664,7595,22761,321173
57420,58060,49511,43433,39451,12673,4338,8335,26777,51523,52058,39226,35629,12518,4900,7732,23133,323391
